riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs8035410-?	6E-13	-	NR	-	"0.0167381 unit decrease"	[0.012-0.021]	IGF1R	Height	"body height"	-	GCST90435412	15:98852605	39134668	"Shi S"
rs876531-?	4E-35	-	NR	-	"0.0217101 unit decrease"	[0.018-0.025]	BOK	Height	"body height"	-	GCST90435412	2:241561247	39134668	"Shi S"
rs876672-?	4E-10	-	NR	-	"0.0193783 unit decrease"	[0.013-0.025]	CMIP	Height	"body height"	-	GCST90435412	16:81537995	39134668	"Shi S"
rs876678-?	2E-66	-	NR	-	"0.0298005 unit decrease"	[0.026-0.033]	PPIF	Height	"body height"	-	GCST90435412	10:79351280	39134668	"Shi S"
rs883551-?	2E-10	-	NR	-	"0.018932 unit increase"	[0.013-0.025]	RPL7P51,SIGLEC14	Height	"body height"	-	GCST90435412	19:51647264	39134668	"Shi S"
rs888681-?	5E-28	-	NR	-	"0.0196231 unit decrease"	[0.016-0.023]	PITX1-AS1	Height	"body height"	-	GCST90435412	5:135075669	39134668	"Shi S"
rs8922-?	3E-12	-	NR	-	"0.0146288 unit decrease"	[0.011-0.019]	NALCN,NALCN-AS1	Height	"body height"	-	GCST90435412	13:101053841	39134668	"Shi S"
rs892523-?	2E-13	-	NR	-	"0.0129303 unit decrease"	[0.0095-0.0164]	TMEM184A	Height	"body height"	-	GCST90435412	7:1543652	39134668	"Shi S"
rs892667-?	1E-10	-	NR	-	"0.0118706 unit decrease"	[0.0083-0.0155]	MBNL1	Height	"body height"	-	GCST90435412	3:152460063	39134668	"Shi S"
rs897090-?	1E-20	-	NR	-	"0.0197166 unit increase"	[0.016-0.024]	LTBP1	Height	"body height"	-	GCST90435412	2:33133012	39134668	"Shi S"
rs898103-?	2E-14	-	NR	-	"0.0135575 unit decrease"	[0.01-0.017]	TBCD	Height	"body height"	-	GCST90435412	17:82887951	39134668	"Shi S"
rs898968-?	9E-16	-	NR	-	"0.0215252 unit decrease"	[0.016-0.027]	CMIP	Height	"body height"	-	GCST90435412	16:81533512	39134668	"Shi S"
rs902144-?	1E-31	-	NR	-	"0.0203482 unit increase"	[0.017-0.024]	LINC01505	Height	"body height"	-	GCST90435412	9:106415290	39134668	"Shi S"
rs911549-?	3E-47	-	NR	-	"0.0257104 unit increase"	[0.022-0.029]	MARK3,CKB	Height	"body height"	-	GCST90435412	14:103518200	39134668	"Shi S"
rs911641-?	2E-15	-	NR	-	"0.01422 unit increase"	[0.011-0.018]	ISM1	Height	"body height"	-	GCST90435412	20:13278398	39134668	"Shi S"
rs913678-?	2E-11	-	NR	-	"0.0123202 unit decrease"	[0.0087-0.0159]	LINC01271,RN7SL636P	Height	"body height"	-	GCST90435412	20:50338887	39134668	"Shi S"
rs923901-?	3E-13	-	NR	-	"0.0133066 unit increase"	[0.0097-0.0169]	CCDC195,CUL3	Height	"body height"	-	GCST90435412	2:224612559	39134668	"Shi S"
rs926779-?	5E-57	-	NR	-	"0.0312627 unit increase"	[0.027-0.035]	ESR1	Height	"body height"	-	GCST90435412	6:152034785	39134668	"Shi S"
rs9268847-?	1E-37	-	NR	-	"0.0260601 unit decrease"	[0.022-0.03]	HLA-DRB9	Height	"body height"	-	GCST90435412	6:32461500	39134668	"Shi S"
rs9273608-?	4E-53	-	NR	-	"0.0281218 unit decrease"	[0.025-0.032]	HLA-DQB1	Height	"body height"	-	GCST90435412	6:32661333	39134668	"Shi S"
rs927401-?	2E-29	-	NR	-	"0.0198527 unit decrease"	[0.016-0.023]	BMP6	Height	"body height"	-	GCST90435412	6:7807189	39134668	"Shi S"
rs9277936-?	1E-22	-	NR	-	"0.01977 unit increase"	[0.016-0.024]	ZNF70P1,RING1	Height	"body height"	-	GCST90435412	6:33215471	39134668	"Shi S"
rs9289712-?	8E-13	-	NR	-	"0.0124946 unit increase"	[0.0091-0.0159]	LNCSRLR,PLOD2	Height	"body height"	-	GCST90435412	3:146067919	39134668	"Shi S"
rs9295069-?	7E-12	-	NR	-	"0.0354849 unit increase"	[0.025-0.046]	SMOC2	Height	"body height"	-	GCST90435412	6:168580582	39134668	"Shi S"
rs9300607-?	1E-10	-	NR	-	"0.0110878 unit decrease"	[0.0077-0.0145]	GGACT	Height	"body height"	-	GCST90435412	13:100571205	39134668	"Shi S"
rs9321266-?	1E-51	-	NR	-	"0.0272446 unit increase"	[0.024-0.031]	EPB41L2	Height	"body height"	-	GCST90435412	6:130995318	39134668	"Shi S"
rs9543307-?	6E-9	-	NR	-	"0.0107734 unit increase"	[0.0072-0.0144]	RNY1P8,MARK2P12	Height	"body height"	-	GCST90435412	13:73280047	39134668	"Shi S"
rs9548943-?	8E-12	-	NR	-	"0.0121038 unit decrease"	[0.0086-0.0156]	COG6,CDKN2AIPNLP3	Height	"body height"	-	GCST90435412	13:39815921	39134668	"Shi S"
rs9575875-?	5E-14	-	NR	-	"0.0134026 unit increase"	[0.0099-0.0169]	LINC00375,LINC00351	Height	"body height"	-	GCST90435412	13:85357150	39134668	"Shi S"
rs9576717-?	7E-12	-	NR	-	"0.0197257 unit decrease"	[0.014-0.025]	NXT1P1,NHLRC3	Height	"body height"	-	GCST90435412	13:39060168	39134668	"Shi S"
rs957675208-?	3E-36	-	NR	-	"0.548997 unit increase"	[0.46-0.63]	HMGA1	Height	"body height"	-	GCST90435412	6:34237902	39134668	"Shi S"
rs9600017-?	3E-8	-	NR	-	"0.0126001 unit increase"	[0.0082-0.017]	MZT1	Height	"body height"	-	GCST90435412	13:72726096	39134668	"Shi S"
rs9613498-?	3E-11	-	NR	-	"0.0115408 unit increase"	[0.0081-0.0149]	CPMER,LINC02554	Height	"body height"	-	GCST90435412	22:27648358	39134668	"Shi S"
rs962242-?	8E-15	-	NR	-	"0.0162612 unit increase"	[0.012-0.02]	ADAR	Height	"body height"	-	GCST90435412	1:154619664	39134668	"Shi S"
rs962683-?	7E-14	-	NR	-	"0.0166548 unit increase"	[0.012-0.021]	SLC38A1	Height	"body height"	-	GCST90435412	12:46213497	39134668	"Shi S"
rs9634212-?	9E-150	-	NR	-	"0.054665 unit increase"	[0.051-0.059]	CRADD,SOCS2	Height	"body height"	-	GCST90435412	12:93599490	39134668	"Shi S"
rs9672965-?	4E-17	-	NR	-	"0.0146616 unit increase"	[0.011-0.018]	IGF1R,SYNM-AS1	Height	"body height"	-	GCST90435412	15:98955204	39134668	"Shi S"
rs9716700-?	2E-69	-	NR	-	"0.0390403 unit decrease"	[0.035-0.043]	NPR3	Height	"body height"	-	GCST90435412	5:32711527	39134668	"Shi S"
rs9809116-?	1E-72	-	NR	-	"0.0319989 unit decrease"	[0.029-0.035]	RYBP,LINC00877	Height	"body height"	-	GCST90435412	3:72348128	39134668	"Shi S"
rs9813198-?	6E-19	-	NR	-	"0.0154325 unit increase"	[0.012-0.019]	CTNNB1	Height	"body height"	-	GCST90435412	3:41216557	39134668	"Shi S"
rs9824067-?	1E-10	-	NR	-	"0.0160723 unit decrease"	[0.011-0.021]	GMNC,OSTN	Height	"body height"	-	GCST90435412	3:191131747	39134668	"Shi S"
rs9824877-?	4E-14	-	NR	-	"0.0158483 unit decrease"	[0.012-0.02]	ACTG1P13,U7	Height	"body height"	-	GCST90435412	3:99177398	39134668	"Shi S"
rs9826470-?	6E-30	-	NR	-	"0.0228884 unit increase"	[0.019-0.027]	CTDSPL	Height	"body height"	-	GCST90435412	3:37977937	39134668	"Shi S"
rs9830029-?	3E-18	-	NR	-	"0.0155651 unit increase"	[0.012-0.019]	FBXL2,SUSD5	Height	"body height"	-	GCST90435412	3:33220637	39134668	"Shi S"
rs9830552-?	1E-16	-	NR	-	"0.0145855 unit increase"	[0.011-0.018]	NMRAL2P,TRA2B	Height	"body height"	-	GCST90435412	3:185941464	39134668	"Shi S"
rs9841435-?	1E-13	-	NR	-	"0.0139802 unit increase"	[0.01-0.018]	CCDC50	Height	"body height"	-	GCST90435412	3:191393371	39134668	"Shi S"
rs9841945-?	1E-8	-	NR	-	"0.010289 unit decrease"	[0.0068-0.0138]	RN7SKP46,SLC66A1L	Height	"body height"	-	GCST90435412	3:157863678	39134668	"Shi S"
rs9844162-?	1E-13	-	NR	-	"0.0129419 unit increase"	[0.0095-0.0164]	MAP6D1	Height	"body height"	-	GCST90435412	3:183822697	39134668	"Shi S"
rs9847788-?	2E-28	-	NR	-	"0.0205025 unit increase"	[0.017-0.024]	ANAPC13,HMGB3P13	Height	"body height"	-	GCST90435412	3:134467654	39134668	"Shi S"
rs985552-?	2E-16	-	NR	-	"0.0167266 unit decrease"	[0.013-0.021]	SLC38A4-AS1	Height	"body height"	-	GCST90435412	12:46750250	39134668	"Shi S"
rs9873460-?	7E-15	-	NR	-	"0.014239 unit increase"	[0.011-0.018]	ZBTB20-AS5,ZBTB20	Height	"body height"	-	GCST90435412	3:114480803	39134668	"Shi S"
chr8:76464512-?	2E-13	-	NR	-	"0.0278104 unit decrease"	[0.02-0.035]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr9:112508800-?	5E-10	-	NR	-	"0.0152946 unit decrease"	[0.01-0.02]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr9:92563786-?	4E-41	-	NR	-	"0.0235225 unit decrease"	[0.02-0.027]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr9:95043249-?	1E-26	-	NR	-	"0.0373274 unit decrease"	[0.03-0.044]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr9:95468642-?	2E-106	-	NR	-	"0.0400865 unit increase"	[0.036-0.044]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
rs10010325-?	8E-71	-	NR	-	"0.0309015 unit increase"	[0.027-0.034]	TET2	Height	"body height"	-	GCST90435412	4:105185196	39134668	"Shi S"
rs10018344-?	6E-24	-	NR	-	"0.0174944 unit increase"	[0.014-0.021]	ZAR1,FRYL	Height	"body height"	-	GCST90435412	4:48496653	39134668	"Shi S"
rs10020067-?	4E-9	-	NR	-	"0.0105449 unit decrease"	[0.007-0.014]	MIR5705,KLHL8	Height	"body height"	-	GCST90435412	4:87260339	39134668	"Shi S"
rs10026360-?	2E-11	-	NR	-	"0.0123499 unit increase"	[0.0087-0.016]	LINC02428	Height	"body height"	-	GCST90435412	4:103453439	39134668	"Shi S"
rs10037512-?	1E-54	-	NR	-	"0.0271076 unit decrease"	[0.024-0.031]	MEF2C-AS1	Height	"body height"	-	GCST90435412	5:89058858	39134668	"Shi S"
rs10050427-?	4E-17	-	NR	-	"0.0169925 unit increase"	[0.013-0.021]	MIR8056,RNU6-500P	Height	"body height"	-	GCST90435412	5:173358121	39134668	"Shi S"
rs10054292-?	1E-14	-	NR	-	"0.0142884 unit decrease"	[0.011-0.018]	CYFIP2	Height	"body height"	-	GCST90435412	5:157369951	39134668	"Shi S"
rs10059884-?	1E-94	-	NR	-	"0.0365897 unit decrease"	[0.033-0.04]	NPR3,LINC02120	Height	"body height"	-	GCST90435412	5:32832368	39134668	"Shi S"
rs10064373-?	4E-8	-	NR	-	"0.0108435 unit decrease"	[0.007-0.0147]	ZSWIM6,C5orf64	Height	"body height"	-	GCST90435412	5:61561887	39134668	"Shi S"
rs1007358-?	8E-34	-	NR	-	"0.0257132 unit increase"	[0.022-0.03]	HMGN1P19,ZNF619P1	Height	"body height"	-	GCST90435412	7:46161757	39134668	"Shi S"
rs10075681-?	3E-22	-	NR	-	"0.0172358 unit decrease"	[0.014-0.021]	LINC02120,NPR3	Height	"body height"	-	GCST90435412	5:32936527	39134668	"Shi S"
rs1008158-?	5E-14	-	NR	-	"0.0138183 unit increase"	[0.01-0.017]	RNY4P18,LPAR1	Height	"body height"	-	GCST90435412	9:111066531	39134668	"Shi S"
rs10086557-?	1E-17	-	NR	-	"0.0219636 unit decrease"	[0.017-0.027]	PVT1	Height	"body height"	-	GCST90435412	8:127976894	39134668	"Shi S"
rs10086761-?	4E-80	-	NR	-	"0.0363573 unit increase"	[0.033-0.04]	PKIA-AS1,HIGD1AP18	Height	"body height"	-	GCST90435412	8:77202069	39134668	"Shi S"
rs10106924-?	7E-13	-	NR	-	"0.014099 unit increase"	[0.01-0.018]	ZFAT	Height	"body height"	-	GCST90435412	8:134533475	39134668	"Shi S"
rs10107213-?	7E-32	-	NR	-	"0.023727 unit increase"	[0.02-0.028]	LINC02947,RPL29P19	Height	"body height"	-	GCST90435412	8:48493041	39134668	"Shi S"
rs10109417-?	6E-11	-	NR	-	"0.0176158 unit decrease"	[0.012-0.023]	DPYSL2	Height	"body height"	-	GCST90435412	8:26530784	39134668	"Shi S"
rs10110827-?	1E-13	-	NR	-	"0.0145506 unit increase"	[0.011-0.018]	SLC26A7	Height	"body height"	-	GCST90435412	8:91252155	39134668	"Shi S"
rs10115203-?	2E-9	-	NR	-	"0.019665 unit increase"	[0.013-0.026]	DAPK1,LINC02872	Height	"body height"	-	GCST90435412	9:87271550	39134668	"Shi S"
rs10125656-?	1E-30	-	NR	-	"0.0366952 unit decrease"	[0.03-0.043]	DELEC1,U2	Height	"body height"	-	GCST90435412	9:115720906	39134668	"Shi S"
rs77750939-?	2E-14	-	NR	-	"0.0291179 unit increase"	[0.022-0.037]	ARHGAP33	Height	"body height"	-	GCST90435412	19:35775463	39134668	"Shi S"
rs77764524-?	2E-9	-	NR	-	"0.0109761 unit increase"	[0.0074-0.0146]	FBXO27	Height	"body height"	-	GCST90435412	19:38991627	39134668	"Shi S"
rs77800020-?	4E-18	-	NR	-	"0.0407474 unit increase"	[0.032-0.05]	TPBG,UBE3D	Height	"body height"	-	GCST90435412	6:82555519	39134668	"Shi S"
rs7781964-?	8E-20	-	NR	-	"0.0204279 unit increase"	[0.016-0.025]	PARP12	Height	"body height"	-	GCST90435412	7:140049546	39134668	"Shi S"
rs7783318-?	1E-11	-	NR	-	"0.011947 unit decrease"	[0.0085-0.0154]	SMARCD3	Height	"body height"	-	GCST90435412	7:151267906	39134668	"Shi S"
rs77844870-?	2E-14	-	NR	-	"0.0284476 unit decrease"	[0.021-0.036]	KCTD5	Height	"body height"	-	GCST90435412	16:2708282	39134668	"Shi S"
rs77858829-?	1E-17	-	NR	-	"0.0204717 unit increase"	[0.016-0.025]	ISG20,ACAN	Height	"body height"	-	GCST90435412	15:88715368	39134668	"Shi S"
rs77907105-?	8E-11	-	NR	-	"0.0460177 unit increase"	[0.032-0.06]	DIS3L2	Height	"body height"	-	GCST90435412	2:232119988	39134668	"Shi S"
rs7793921-?	3E-17	-	NR	-	"0.0158363 unit increase"	[0.012-0.02]	CCT6A	Height	"body height"	-	GCST90435412	7:56053188	39134668	"Shi S"
rs7796089-?	2E-9	-	NR	-	"0.0109349 unit increase"	[0.0074-0.0145]	PHTF2	Height	"body height"	-	GCST90435412	7:77882781	39134668	"Shi S"
rs78032479-?	2E-8	-	NR	-	"0.0123144 unit increase"	[0.008-0.0166]	MTND4P3,MTCO1P57	Height	"body height"	-	GCST90435412	7:68198389	39134668	"Shi S"
rs78156728-?	2E-9	-	NR	-	"0.0954093 unit decrease"	[0.064-0.126]	DNM1	Height	"body height"	-	GCST90435412	9:128214387	39134668	"Shi S"
rs78198962-?	7E-82	-	NR	-	"0.0951125 unit increase"	[0.085-0.105]	DIS3L2	Height	"body height"	-	GCST90435412	2:232230158	39134668	"Shi S"
rs782065527-?	2E-9	-	NR	-	"0.0142352 unit increase"	[0.0096-0.0189]	TMEM236	Height	"body height"	-	GCST90435412	10:17787502	39134668	"Shi S"
rs78218713-?	2E-20	-	NR	-	"0.0265468 unit decrease"	[0.021-0.032]	BNC2,RN7SL720P	Height	"body height"	-	GCST90435412	9:17018849	39134668	"Shi S"
rs7822154-?	8E-13	-	NR	-	"0.0155106 unit decrease"	[0.011-0.02]	LINC00681,LINC03019	Height	"body height"	-	GCST90435412	8:12809602	39134668	"Shi S"
rs78270829-?	6E-16	-	NR	-	"0.0520933 unit increase"	[0.039-0.065]	CALCOCO2	Height	"body height"	-	GCST90435412	17:48836501	39134668	"Shi S"
rs78271342-?	1E-14	-	NR	-	"0.021676 unit increase"	[0.016-0.027]	FAM120A	Height	"body height"	-	GCST90435412	9:93468959	39134668	"Shi S"
rs7830500-?	1E-13	-	NR	-	"0.0160951 unit increase"	[0.012-0.02]	LINC03024,ST3GAL1-DT	Height	"body height"	-	GCST90435412	8:133596884	39134668	"Shi S"
rs78333947-?	3E-39	-	NR	-	"0.0527325 unit increase"	[0.045-0.061]	DNMT1	Height	"body height"	-	GCST90435412	19:10143085	39134668	"Shi S"
rs78363510-?	1E-9	-	NR	-	"0.0176892 unit increase"	[0.012-0.023]	FRY	Height	"body height"	-	GCST90435412	13:32116612	39134668	"Shi S"
rs78378222-?	3E-30	-	NR	-	"0.0908871 unit increase"	[0.075-0.106]	TP53	Height	"body height"	-	GCST90435412	17:7668434	39134668	"Shi S"
rs7839162-?	4E-62	-	NR	-	"0.0325975 unit decrease"	[0.029-0.036]	ZFAT	Height	"body height"	-	GCST90435412	8:134687792	39134668	"Shi S"
rs78408340-?	3E-10	-	NR	-	"0.0557096 unit decrease"	[0.038-0.073]	PAM	Height	"body height"	-	GCST90435412	5:103003035	39134668	"Shi S"
rs78444298-?	5E-13	-	NR	-	"0.0458601 unit decrease"	[0.033-0.058]	EDEM3	Height	"body height"	-	GCST90435412	1:184702964	39134668	"Shi S"
rs8036643-?	4E-19	-	NR	-	"0.0162386 unit decrease"	[0.013-0.02]	TYRO3,MGA	Height	"body height"	-	GCST90435412	15:41611767	39134668	"Shi S"
rs8039718-?	6E-35	-	NR	-	"0.0279509 unit increase"	[0.024-0.032]	TLE3	Height	"body height"	-	GCST90435412	15:70063811	39134668	"Shi S"
rs8042740-?	4E-26	-	NR	-	"0.0323612 unit decrease"	[0.026-0.038]	DUT,FBN1	Height	"body height"	-	GCST90435412	15:48394113	39134668	"Shi S"
rs8054322-?	2E-11	-	NR	-	"0.0117137 unit increase"	[0.0083-0.0151]	LINC02139,GSE1	Height	"body height"	-	GCST90435412	16:85167799	39134668	"Shi S"
rs8059189-?	2E-11	-	NR	-	"0.0121646 unit decrease"	[0.0086-0.0157]	FENDRR,LINC00917	Height	"body height"	-	GCST90435412	16:86383743	39134668	"Shi S"
rs8073626-?	1E-20	-	NR	-	"0.01623 unit decrease"	[0.013-0.02]	USP36	Height	"body height"	-	GCST90435412	17:78794197	39134668	"Shi S"
rs8079266-?	3E-14	-	NR	-	"0.0137316 unit increase"	[0.01-0.017]	NME1-NME2,NME2	Height	"body height"	-	GCST90435412	17:51169365	39134668	"Shi S"
rs8103849-?	4E-46	-	NR	-	"0.0263395 unit increase"	[0.023-0.03]	UHRF1	Height	"body height"	-	GCST90435412	19:4909617	39134668	"Shi S"
rs8103992-?	3E-31	-	NR	-	"0.025202 unit decrease"	[0.021-0.029]	CILP2,PBX4	Height	"body height"	-	GCST90435412	19:19554834	39134668	"Shi S"
rs8104479-?	1E-27	-	NR	-	"0.0263272 unit decrease"	[0.022-0.031]	DNMT1	Height	"body height"	-	GCST90435412	19:10210073	39134668	"Shi S"
rs8117259-?	1E-16	-	NR	-	"0.0187066 unit decrease"	[0.014-0.023]	INSM1,CFAP61	Height	"body height"	-	GCST90435412	20:20367609	39134668	"Shi S"
rs8180817-?	1E-11	-	NR	-	"0.0118989 unit increase"	[0.0085-0.0153]	FOXP2	Height	"body height"	-	GCST90435412	7:114407487	39134668	"Shi S"
rs8191852-?	4E-8	-	NR	-	"0.00993092 unit increase"	[0.0064-0.0135]	IGF2R	Height	"body height"	-	GCST90435412	6:160063289	39134668	"Shi S"
rs822530-?	1E-103	-	NR	-	"0.0466371 unit increase"	[0.042-0.051]	RN7SL569P,RNY4	Height	"body height"	-	GCST90435412	7:148934463	39134668	"Shi S"
rs823118-?	1E-31	-	NR	-	"0.0205272 unit decrease"	[0.017-0.024]	NUCKS1,RAB29	Height	"body height"	-	GCST90435412	1:205754444	39134668	"Shi S"
rs841217-?	5E-20	-	NR	-	"0.0159175 unit decrease"	[0.013-0.019]	ANKS3,NUDT16L1	Height	"body height"	-	GCST90435412	16:4696391	39134668	"Shi S"
rs843742-?	1E-15	-	NR	-	"0.0174653 unit increase"	[0.013-0.022]	ACYP2	Height	"body height"	-	GCST90435412	2:54273619	39134668	"Shi S"
rs852944-?	3E-13	-	NR	-	"0.0129225 unit increase"	[0.0094-0.0164]	LINC01626	Height	"body height"	-	GCST90435412	6:71454687	39134668	"Shi S"
rs856586-?	2E-8	-	NR	-	"0.0111002 unit increase"	[0.0072-0.015]	HMGN1P19,EPS15P1	Height	"body height"	-	GCST90435412	7:46701672	39134668	"Shi S"
rs862039-?	9E-52	-	NR	-	"0.0275416 unit increase"	[0.024-0.031]	LTBP2	Height	"body height"	-	GCST90435412	14:74520185	39134668	"Shi S"
rs863855-?	2E-8	-	NR	-	"0.0175416 unit decrease"	[0.011-0.024]	ARF3,WNT10B	Height	"body height"	-	GCST90435412	12:48957540	39134668	"Shi S"
rs870713-?	1E-11	-	NR	-	"0.011834 unit decrease"	[0.0084-0.0152]	TLE1	Height	"body height"	-	GCST90435412	9:81612243	39134668	"Shi S"
rs872440-?	1E-33	-	NR	-	"0.0553985 unit increase"	[0.046-0.064]	CCND1,LINC01488	Height	"body height"	-	GCST90435412	11:69540314	39134668	"Shi S"
rs875255-?	2E-9	-	NR	-	"0.0104093 unit increase"	[0.007-0.0138]	CLPTM1	Height	"body height"	-	GCST90435412	19:44990377	39134668	"Shi S"
rs876122-?	8E-35	-	NR	-	"0.0330797 unit increase"	[0.028-0.038]	RN7SL554P,BTF3P7	Height	"body height"	-	GCST90435412	6:6886064	39134668	"Shi S"
rs9880232-?	4E-16	-	NR	-	"0.0154809 unit increase"	[0.012-0.019]	IGF2BP2,SENP2	Height	"body height"	-	GCST90435412	3:185642790	39134668	"Shi S"
rs9886025-?	3E-9	-	NR	-	"0.0103968 unit increase"	[0.007-0.0138]	PRKAR1B	Height	"body height"	-	GCST90435412	7:572998	39134668	"Shi S"
rs9889262-?	3E-40	-	NR	-	"0.0239611 unit decrease"	[0.02-0.027]	ZNF652	Height	"body height"	-	GCST90435412	17:49320708	39134668	"Shi S"
rs9890133-?	1E-29	-	NR	-	"0.0305745 unit decrease"	[0.025-0.036]	KCNJ2	Height	"body height"	-	GCST90435412	17:70172864	39134668	"Shi S"
rs989393-?	2E-24	-	NR	-	"0.0195745 unit decrease"	[0.016-0.023]	COL15A1	Height	"body height"	-	GCST90435412	9:98981054	39134668	"Shi S"
rs9897627-?	2E-20	-	NR	-	"0.0179629 unit increase"	[0.014-0.022]	PFAS	Height	"body height"	-	GCST90435412	17:8258528	39134668	"Shi S"
rs9902820-?	1E-10	-	NR	-	"0.0113924 unit increase"	[0.0079-0.0149]	TEX14	Height	"body height"	-	GCST90435412	17:58560184	39134668	"Shi S"
rs9905997-?	2E-12	-	NR	-	"0.0122424 unit increase"	[0.0088-0.0157]	NEURL4	Height	"body height"	-	GCST90435412	17:7328473	39134668	"Shi S"
rs9908159-?	1E-54	-	NR	-	"0.0270188 unit decrease"	[0.024-0.03]	C17orf67,NOG	Height	"body height"	-	GCST90435412	17:56764600	39134668	"Shi S"
rs9909922-?	6E-17	-	NR	-	"0.0234246 unit increase"	[0.018-0.029]	NFE2L1,CBX1	Height	"body height"	-	GCST90435412	17:48064482	39134668	"Shi S"
rs9915072-?	2E-12	-	NR	-	"0.0163618 unit increase"	[0.012-0.021]	ANKFN1	Height	"body height"	-	GCST90435412	17:56505255	39134668	"Shi S"
rs9931359-?	2E-25	-	NR	-	"0.0346162 unit decrease"	[0.028-0.041]	KCTD19	Height	"body height"	-	GCST90435412	16:67325405	39134668	"Shi S"
rs9938257-?	8E-12	-	NR	-	"0.0140038 unit decrease"	[0.01-0.018]	GLIS2,PAM16	Height	"body height"	-	GCST90435412	16:4332606	39134668	"Shi S"
rs9941239-?	4E-23	-	NR	-	"0.0200256 unit decrease"	[0.016-0.024]	ZDHHC7,LINC02176	Height	"body height"	-	GCST90435412	16:84954341	39134668	"Shi S"
rs994532-?	3E-45	-	NR	-	"0.0265527 unit decrease"	[0.023-0.03]	DIRC3	Height	"body height"	-	GCST90435412	2:217419487	39134668	"Shi S"
rs9956387-?	7E-19	-	NR	-	"0.0153132 unit increase"	[0.012-0.019]	SKOR2	Height	"body height"	-	GCST90435412	18:47247011	39134668	"Shi S"
rs9969824-?	1E-8	-	NR	-	"0.0105057 unit decrease"	[0.0069-0.0141]	MUSK	Height	"body height"	-	GCST90435412	9:110702911	39134668	"Shi S"
chr1:165604642-?	9E-10	-	NR	-	"0.031779 unit decrease"	[0.022-0.042]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr1:210265385-?	2E-9	-	NR	-	"0.010456 unit decrease"	[0.007-0.0139]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr1:21249532-?	1E-35	-	NR	-	"0.0218463 unit increase"	[0.018-0.025]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr1:219617181-?	1E-25	-	NR	-	"0.0183367 unit increase"	[0.015-0.022]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr1:227399069-?	2E-43	-	NR	-	"0.0272113 unit decrease"	[0.023-0.031]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr1:24965314-?	9E-10	-	NR	-	"0.0187809 unit increase"	[0.013-0.025]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr1:26780772-?	5E-15	-	NR	-	"0.024102 unit increase"	[0.018-0.03]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr10:11970886-?	4E-17	-	NR	-	"0.0212971 unit decrease"	[0.016-0.026]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr20:31769208-?	4E-10	-	NR	-	"0.0131611 unit increase"	[0.009-0.0173]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr20:32860313-?	8E-18	-	NR	-	"0.0202326 unit decrease"	[0.016-0.025]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr3:190937659-?	2E-13	-	NR	-	"0.0131523 unit decrease"	[0.0096-0.0167]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr3:43039038-?	1E-20	-	NR	-	"0.0217109 unit decrease"	[0.017-0.026]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr3:56639410-?	1E-43	-	NR	-	"0.0242247 unit decrease"	[0.021-0.028]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr4:12870745-?	2E-41	-	NR	-	"0.0235051 unit decrease"	[0.02-0.027]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr4:17963641-?	5E-229	-	NR	-	"0.0768032 unit decrease"	[0.072-0.081]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr5:128071338-?	2E-14	-	NR	-	"0.0133974 unit decrease"	[0.01-0.0168]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr5:134522415-?	1E-19	-	NR	-	"0.0158464 unit increase"	[0.012-0.019]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr5:140590413-?	3E-8	-	NR	-	"0.0105874 unit decrease"	[0.0069-0.0143]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr5:173559443-?	5E-42	-	NR	-	"0.0248294 unit decrease"	[0.021-0.028]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
chr5:55122273-?	2E-37	-	NR	-	"0.0231719 unit decrease"	[0.02-0.027]	-	Height	"body height"	-	GCST90435412	-	39134668	"Shi S"
